500 -> {
722, 14, 402, 304, 71, 788, 417, 615, 865, 515,
417, 905, 364, 304, 30, 665, 63, 657, 269, 136,
301, 255, 735, 428, 37, 145, 933, 713, 188, 710,
276, 814, 985, 803, 355, 67, 682, 935, 362, 866,
277, 586, 421, 604, 145, 645, 985, 493, 694, 918,
167, 147, 394, 514, 215, 386, 158, 897, 6, 708,
480, 228, 939, 639, 786, 826, 294, 575, 787, 108,
171, 622, 117, 77, 518, 433, 615, 126, 894, 565,
891, 345, 119, 873, 626, 420, 562, 550, 167, 400,
272, 709, 626, 571, 64, 823, 526, 843, 133, 675,
500, 540, 107, 283, 609, 739, 179, 472, 654, 300,
989, 72, 894, 105, 277, 589, 374, 572, 937, 167,
280, 968, 522, 836, 688, 578, 162, 95, 51, 197,
493, 295, 460, 199, 459, 410, 961, 446, 212, 882,
974, 759, 293, 206, 160, 256, 666, 644, 308, 308,
756, 646, 929, 495, 421, 522, 27, 523, 2, 806,
426, 890, 337, 444, 907, 788, 306, 794, 829, 652,
371, 134, 582, 294, 86, 784, 127, 972, 718, 400,
238, 698, 458, 625, 226, 302, 273, 278, 604, 716,
143, 773, 700, 272, 567, 137, 681, 517, 681, 620,
549, 238, 813, 476, 161, 435, 673, 317, 917, 782,
504, 64, 34, 319, 508, 602, 267, 525, 557, 392,
977, 205, 634, 202, 599, 816, 191, 238, 686, 328,
480, 998, 210, 131, 805, 4, 380, 980, 382, 781,
864, 102, 41, 388, 634, 250, 161, 537, 133, 955,
394, 465, 540, 8, 83, 303, 837, 346, 930, 851,
426, 902, 86, 739, 346, 453, 785, 359, 584, 698,
796, 777, 58, 164, 680, 132, 108, 541, 930, 85,
814, 738, 7, 640, 980, 180, 353, 372, 804, 341,
304, 465, 237, 423, 372, 576, 942, 138, 601, 188,
645, 629, 828, 368, 729, 159, 950, 673, 826, 974,
351, 62, 287, 368, 333, 141, 656, 440, 332, 935,
878, 331, 848, 807, 288, 811, 769, 407, 967, 11,
974, 987, 35, 13, 110, 314, 631, 793, 786, 931,
987, 606, 751, 980, 745, 230, 179, 969, 922, 85,
165, 218, 418, 266, 898, 453, 345, 722, 734, 823,
603, 16, 32, 565, 59, 361, 65, 0, 195, 192,
533, 832, 159, 229, 179, 744, 827, 60, 994, 202,
265, 843, 556, 836, 928, 987, 504, 524, 241, 315,
746, 112, 948, 913, 78, 273, 619, 923, 909, 273,
69, 373, 871, 922, 974, 603, 778, 489, 156, 482,
865, 467, 5, 714, 465, 870, 199, 614, 816, 683,
177, 487, 542, 955, 848, 422, 753, 240, 220, 681,
579, 677, 349, 936, 191, 520, 664, 992, 180, 975,
38, 471, 593, 697, 526, 201, 106, 23, 169, 459,
930, 138, 647, 870, 650, 494, 369, 310, 176, 672,
895, 124, 339, 148, 883, 64, 526, 491, 757, 931,
275, 962, 528, 124, 778, 374, 348, 241, 258, 999,
293, 185, 47, 946, 749, 368, 853, 268, 254, 466,
804, 91, 810, 475, 708, 87, 199, 903, 547, 778}
